,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,25,1,37,0,54,33,1,3,9,50,25,1,46,0,30,29,0,1,0,15,0,34,6,6,12,24,8,3,7,16,5.276752767527675,7,26,4,22,271
1,2,0,12,0,18,6,1,1,2,26,4,0,8,0,23,8,0,0,0,8,0,13,1,1,1,21,5,0,1,6,4.589473684210526,6,11,1,4,95
2,7,0,23,0,23,14,0,0,2,27,14,0,16,0,31,11,0,0,0,4,0,9,2,1,7,20,3,1,2,3,4.881889763779528,2,9,2,11,127
3,16,4,44,6,36,22,1,0,19,71,3,0,33,0,34,30,0,0,1,21,0,33,3,14,18,21,27,3,5,1,5.183946488294314,8,3,4,32,299
4,20,0,39,2,37,24,4,0,12,54,12,1,46,0,44,26,2,0,0,11,0,29,7,4,6,20,15,2,2,3,4.509803921568627,4,17,4,34,306
5,13,0,30,1,34,21,0,0,15,44,19,2,28,0,28,13,0,0,0,10,0,25,1,2,6,19,5,3,2,1,4.844036697247707,3,18,4,25,218
6,18,1,59,0,53,34,0,1,9,79,32,0,41,1,21,23,1,0,4,21,0,38,10,6,15,16,18,6,10,3,5.9935064935064934,10,28,5,20,308
7,16,6,105,5,109,33,1,0,18,118,11,0,34,0,72,57,2,1,15,16,0,33,30,12,20,36,13,7,5,9,4.4953271028037385,11,18,2,35,428
8,8,1,35,2,41,30,1,1,7,43,14,0,27,0,17,20,0,0,0,16,0,25,8,2,8,10,11,0,4,0,5.941798941798941,3,4,4,19,189
9,13,2,48,0,51,15,0,0,12,62,7,0,16,0,35,28,0,0,1,12,0,24,4,3,4,16,16,4,2,3,5.192118226600985,4,5,4,21,203
10,16,1,39,1,45,19,0,0,10,29,6,0,28,0,29,14,0,0,3,9,0,24,1,3,7,27,10,8,3,1,4.544444444444444,3,9,3,16,180
11,13,1,25,1,36,16,0,2,7,38,6,1,27,0,25,17,0,0,0,16,0,19,3,10,8,25,11,2,5,1,5.237837837837838,5,3,3,19,185
12,13,0,50,3,61,23,1,1,15,59,28,1,32,0,39,28,0,0,3,16,0,33,17,9,13,15,15,2,4,4,4.930693069306931,4,19,5,29,303
13,14,0,31,0,46,21,0,2,8,37,8,1,34,0,32,13,0,0,2,15,0,19,5,3,8,16,8,2,2,3,4.861111111111111,3,8,3,13,180
14,1,0,11,0,12,6,0,0,5,13,3,0,10,0,5,2,0,0,0,2,0,6,0,4,3,4,3,0,2,1,4.5606060606060606,2,2,3,5,66
15,11,4,36,0,48,27,0,1,10,37,17,0,32,0,26,16,0,0,1,11,0,21,7,5,10,15,12,2,5,1,5.078703703703703,4,17,3,18,216
16,39,2,58,0,77,33,1,1,19,90,29,0,46,0,65,45,0,0,4,17,0,36,7,19,11,32,16,8,0,0,4.826196473551637,0,22,4,40,397
17,17,2,20,1,42,27,0,0,8,37,7,0,32,0,30,19,0,0,5,13,0,14,2,13,7,14,12,4,2,1,5.510752688172043,3,4,3,11,186
18,5,0,17,0,19,6,0,0,3,14,28,1,10,0,8,6,0,0,0,3,0,8,1,3,3,9,2,1,0,1,6.099009900990099,1,26,1,6,101
19,11,1,25,11,35,31,1,0,8,27,1,0,43,0,25,17,1,0,2,13,0,20,2,4,4,30,8,10,0,3,4.541062801932367,3,4,3,22,207
20,12,0,25,1,39,7,0,0,11,52,3,0,14,0,43,11,1,0,3,14,0,25,7,5,2,20,10,5,7,2,4.206060606060606,7,11,3,12,165
21,12,1,24,1,35,11,0,0,8,27,26,0,19,0,35,10,0,0,0,13,0,17,0,1,3,35,2,1,7,1,4.468926553672317,7,31,3,19,177
22,9,0,18,3,20,7,1,0,3,24,14,0,16,0,19,12,0,0,1,9,0,9,3,3,4,14,5,0,0,2,5.224137931034483,2,15,3,10,116
23,23,1,38,1,59,26,0,0,12,53,17,0,43,0,54,28,1,0,11,18,0,34,3,13,11,40,17,6,2,3,4.554421768707483,4,17,4,19,294
24,14,0,40,3,53,25,1,1,20,52,38,1,39,0,41,28,0,0,3,17,0,38,4,10,8,33,14,4,5,2,4.840490797546012,4,34,3,24,326
25,20,2,46,2,55,34,0,1,11,58,7,0,31,0,26,15,3,0,2,6,0,18,2,4,8,14,18,3,2,5,5.504424778761062,1,23,4,18,226
26,9,0,9,1,21,11,1,0,9,24,3,2,20,0,15,13,0,0,2,5,0,17,5,4,4,12,3,3,3,2,3.9651162790697674,2,7,4,11,172
27,3,1,4,0,10,6,0,2,4,6,4,0,12,0,7,5,0,0,1,3,0,5,2,1,2,5,0,0,0,0,5.055555555555555,0,4,2,6,54
28,14,5,19,1,35,10,1,2,6,33,3,0,23,0,35,10,1,0,0,12,0,17,2,3,3,23,7,3,5,4,5.08641975308642,7,2,3,14,162
29,12,3,15,3,36,16,1,0,11,35,3,2,16,0,29,18,1,0,3,14,0,20,6,1,7,12,11,3,2,4,5.228395061728395,2,7,3,20,162
30,9,2,39,1,40,33,0,2,9,49,6,0,18,0,56,27,0,0,2,18,0,22,15,13,6,33,11,2,3,9,4.119718309859155,3,2,4,39,284
31,12,0,27,4,46,37,0,1,9,35,7,2,30,0,19,24,0,0,0,6,0,13,0,11,9,21,17,4,12,1,5.840796019900497,12,1,3,16,201
32,4,0,25,1,24,11,0,1,4,25,5,0,15,0,6,9,0,0,0,5,0,11,2,2,3,10,4,2,3,0,4.91,3,5,3,8,100
33,10,0,25,1,40,21,1,0,11,40,24,1,20,0,56,27,0,0,4,13,0,27,12,10,5,25,6,6,8,4,4.65546218487395,7,25,4,22,238
34,8,0,23,0,31,14,0,0,7,29,3,1,24,0,41,16,0,0,2,14,0,26,1,5,4,26,11,0,6,4,4.880239520958084,5,17,3,18,167
35,5,1,43,1,58,30,0,1,14,59,14,0,33,0,33,19,2,0,2,19,0,31,4,10,15,20,14,3,1,2,5.5425101214574894,2,15,4,26,247
36,17,1,31,2,38,25,0,2,10,32,7,0,40,0,34,17,0,0,3,18,0,36,2,1,5,26,14,3,6,4,4.773148148148148,8,3,4,18,216
37,11,3,40,1,41,29,1,0,20,42,7,0,41,0,18,19,1,1,4,9,0,31,6,2,9,13,8,2,5,8,5.661971830985915,7,5,3,19,213
38,7,3,42,0,39,14,0,1,16,51,4,1,27,0,13,24,1,0,2,10,0,24,4,1,5,9,10,0,3,1,5.591715976331361,2,8,3,18,169
39,21,0,52,2,54,25,0,1,12,53,18,0,37,0,29,27,0,0,3,11,0,24,12,8,12,8,18,8,2,1,5.982978723404256,5,12,4,23,235
40,25,0,49,2,48,17,2,0,11,52,13,1,57,0,32,23,0,0,4,22,0,38,1,13,3,25,4,2,4,0,4.503496503496503,4,29,3,21,286
41,12,0,28,0,39,12,0,1,11,38,3,0,38,0,23,18,3,0,0,6,0,17,2,5,8,22,9,3,6,1,5.471590909090909,6,4,4,21,176
42,53,1,53,1,75,41,5,0,11,83,39,0,77,0,75,21,4,1,6,18,0,38,4,12,6,69,14,5,13,4,4.818791946308725,14,49,4,44,447
43,28,1,51,3,55,21,2,1,18,78,7,0,39,1,53,24,0,0,3,23,0,40,9,9,6,22,10,2,8,6,3.1480637813211847,12,19,4,30,439
44,5,1,34,0,32,21,1,0,6,59,14,2,27,0,21,15,1,0,5,11,0,13,1,8,15,18,4,2,2,3,5.552631578947368,5,8,4,24,190
45,15,0,12,3,30,16,0,0,7,28,23,0,25,0,39,12,0,0,1,5,0,14,3,3,3,27,2,3,0,3,3.011904761904762,2,29,4,16,252
46,25,2,48,0,83,31,3,2,10,79,36,1,53,0,66,37,1,1,2,27,0,49,7,17,12,34,22,3,12,5,4.980582524271845,15,37,4,29,412
47,20,1,19,1,41,23,0,0,5,42,3,0,27,0,17,21,0,0,1,15,0,14,2,6,9,15,5,1,4,1,6.113333333333333,5,14,3,11,150
48,15,3,39,0,52,17,0,1,7,58,7,0,23,1,41,18,0,0,7,8,0,22,7,10,6,20,6,3,2,0,5.004716981132075,1,3,4,17,212
49,10,2,33,0,30,29,0,0,12,59,11,1,26,0,20,16,0,0,3,18,0,26,9,3,9,9,4,5,0,3,5.247663551401869,1,12,3,19,214
50,20,1,41,0,54,31,1,0,16,66,17,0,49,0,26,32,4,0,6,19,0,36,9,9,11,19,19,3,6,7,5.96415770609319,6,9,5,26,279
51,8,0,21,1,26,14,3,0,6,40,1,0,13,0,48,19,0,0,1,12,0,18,16,5,4,15,2,3,1,8,4.474683544303797,2,12,3,19,158
52,20,0,41,3,40,32,1,3,13,49,17,1,32,0,16,25,0,1,4,11,0,20,1,4,5,19,13,6,2,2,5.233183856502242,5,13,4,25,223
53,5,0,25,2,38,9,1,0,7,39,3,1,32,0,13,14,0,0,0,7,0,10,2,1,2,14,6,0,2,1,5.133802816901408,2,4,3,13,142
54,19,2,42,2,60,22,0,2,20,56,7,0,52,0,28,29,0,0,7,14,0,33,9,19,19,18,13,1,1,4,5.484251968503937,5,11,4,21,254
55,31,2,43,2,55,31,4,0,22,50,12,2,76,0,69,38,2,1,11,27,0,53,4,8,4,45,11,4,5,9,4.749326145552561,9,25,4,44,371
56,37,0,55,1,97,51,0,0,27,78,26,1,86,0,52,33,0,0,2,30,0,54,9,15,14,35,19,2,4,8,5.4576659038901605,4,15,4,33,437
57,4,0,13,0,18,6,0,0,7,24,0,0,4,0,13,9,0,0,1,6,0,15,1,4,3,4,4,0,1,1,4.9753086419753085,0,11,2,8,81
58,12,0,20,2,30,13,0,0,6,34,3,1,20,0,31,20,0,0,0,4,0,11,2,9,12,19,7,2,2,4,3.569620253164557,3,20,3,12,237
59,14,0,47,6,73,26,4,0,10,64,13,1,45,0,40,18,1,0,3,9,0,23,16,4,7,19,10,0,6,7,4.90443686006826,7,9,4,28,293
60,3,0,17,0,12,6,0,0,5,18,0,0,5,0,2,5,0,0,2,3,0,7,0,0,3,2,2,0,0,0,4.352941176470588,0,3,2,5,51
61,8,0,26,1,35,12,2,0,4,27,1,0,31,0,19,8,0,0,0,6,0,5,1,8,5,14,13,2,1,3,4.892857142857143,5,14,3,8,140
62,22,0,30,1,39,22,3,0,8,55,8,1,35,0,50,23,0,0,4,9,0,19,3,11,5,29,10,0,3,7,5.404545454545454,7,7,3,15,220
63,28,2,42,5,53,31,1,0,6,77,18,1,66,1,38,18,1,0,2,20,0,29,2,13,10,46,14,4,3,2,5.236526946107785,2,22,4,43,334
64,7,3,34,3,33,17,2,1,9,40,19,0,24,0,17,14,0,1,1,7,0,12,3,3,7,21,9,3,5,0,5.546511627906977,4,24,4,20,172
65,13,0,16,0,33,8,0,1,7,39,13,1,29,0,29,20,2,0,1,8,0,12,5,4,5,17,5,1,2,2,5.448717948717949,4,11,3,22,156
66,8,0,27,0,30,10,0,0,6,37,11,0,11,0,28,11,0,0,3,13,0,17,4,3,3,17,5,2,1,1,5.08955223880597,3,13,3,15,134
67,14,0,42,0,44,17,3,1,12,52,9,0,29,0,24,19,1,0,0,12,0,28,7,3,5,15,10,1,4,5,4.9581395348837205,6,17,4,29,215
68,21,0,12,4,23,18,3,1,10,26,1,1,22,0,21,11,0,0,0,10,0,21,1,2,5,15,2,1,1,1,5.077519379844961,2,10,3,13,129
69,15,1,19,4,42,29,0,2,4,27,5,0,27,0,22,15,1,0,1,6,0,10,2,8,7,22,8,3,7,3,5.15819209039548,7,6,3,15,177
70,11,9,42,1,66,28,2,0,9,64,11,0,28,0,64,34,0,0,6,22,0,30,45,9,15,16,4,1,5,8,4.576666666666667,7,11,3,38,300
71,20,4,26,2,33,34,2,1,10,20,7,1,49,0,13,13,0,1,0,7,0,13,2,2,9,23,4,7,2,3,1.5023923444976077,4,11,4,18,627
