,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,0,1,8,0,7,3,0,0,1,9,0,0,1,0,0,7,3,1,0,0,2,3,1,0,1,4,3,0,0,1,4.6571428571428575,0,2,0,4,35
1,2,0,5,0,6,1,0,0,0,9,1,0,1,0,0,3,1,1,0,0,0,0,0,1,0,0,7,0,0,1,4.956521739130435,0,9,0,2,23
2,8,0,22,0,20,7,0,0,1,38,5,0,3,0,0,8,3,0,0,0,4,3,3,2,2,0,7,0,0,0,6.527777777777778,0,5,3,6,72
3,2,0,9,0,8,4,2,0,1,14,1,0,4,0,0,1,2,1,0,0,3,2,1,5,1,0,4,0,0,0,5.837209302325581,0,2,2,7,43
4,2,0,16,0,17,5,0,0,7,18,10,0,4,0,0,11,8,0,0,0,5,8,6,5,3,0,3,0,0,0,5.576923076923077,0,6,2,10,78
5,3,0,19,0,8,1,0,0,1,18,0,0,1,0,0,0,1,0,0,0,2,3,4,1,1,1,5,0,0,2,5.615384615384615,1,3,1,6,39
6,3,1,14,0,12,3,0,0,1,19,3,0,0,0,0,6,5,0,0,0,2,2,3,4,3,1,7,1,0,2,5.489795918367347,0,4,0,4,49
7,4,0,13,0,7,6,0,0,0,16,3,0,1,0,0,6,2,0,0,0,4,4,0,4,4,2,5,0,0,1,5.904761904761905,0,0,2,5,42
8,2,0,4,0,4,0,1,0,2,4,0,0,0,0,0,7,1,0,0,0,1,3,1,0,0,0,2,0,0,0,4.875,0,0,1,3,16
9,4,0,12,0,13,9,1,0,0,17,9,0,2,0,0,15,4,1,0,0,4,3,7,2,2,1,8,1,0,0,5.184615384615385,0,2,2,9,65
10,11,0,21,0,13,4,0,0,1,32,3,0,3,0,0,27,9,1,0,2,9,4,17,6,3,2,7,0,0,4,5.301075268817204,0,4,2,9,93
11,2,0,5,0,3,1,0,0,1,7,0,0,0,0,0,6,6,0,0,0,0,2,1,1,0,4,1,0,1,1,4.619047619047619,1,0,0,2,21
12,0,0,8,0,3,0,0,0,1,8,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,1,0,2,5.777777777777778,1,1,1,2,18
13,3,0,19,0,25,10,1,0,2,32,10,0,7,0,0,14,9,0,0,0,7,7,3,4,5,0,14,1,0,2,6.06,1,9,2,8,100
14,5,0,13,1,10,4,0,0,0,11,2,0,10,0,0,4,1,0,0,0,0,0,1,0,0,1,6,0,0,2,6.0,0,3,0,4,34
15,2,0,5,0,8,1,0,0,2,6,0,0,1,0,0,9,0,0,0,2,1,3,0,1,0,0,6,0,0,1,5.45,0,0,1,3,20
16,2,0,12,0,9,0,0,0,2,17,3,0,0,0,0,13,2,0,0,0,2,3,7,1,1,3,6,0,0,4,5.521739130434782,1,2,2,7,46
17,2,0,4,0,4,1,0,0,0,7,1,0,1,0,0,1,3,0,0,1,1,1,2,1,1,0,2,0,1,0,5.545454545454546,1,3,1,3,22
18,8,1,26,0,11,8,0,0,1,33,9,0,4,0,0,12,7,0,0,1,11,6,4,3,2,0,13,1,0,3,5.762886597938144,0,8,3,10,97
19,2,0,7,0,7,1,0,0,2,10,0,0,0,0,0,5,3,0,0,0,1,2,0,3,1,3,3,0,0,0,4.896551724137931,0,0,1,3,29
20,1,0,12,0,12,2,1,0,1,17,4,0,1,0,0,7,3,0,0,1,2,3,5,0,2,1,3,0,0,3,5.35,0,3,1,3,40
