,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,3,0,17,1,18,9,0,1,0,3,17,8,0,13,0,0,4,5,0,0,1,2,6,6,1,3,1,2,1,0,0,6.0,0,2,2,7,67
1,5,0,29,0,24,12,0,0,0,6,28,10,0,16,0,0,5,9,0,0,1,3,10,9,3,6,1,1,1,0,1,6.28125,1,2,3,10,96
2,2,2,24,1,16,10,0,0,0,5,26,5,0,16,0,0,1,9,0,0,4,10,12,11,3,3,2,1,3,0,0,5.946236559139785,3,0,4,9,93
3,4,4,22,1,27,3,1,0,0,4,23,39,0,10,0,0,5,4,0,0,1,5,7,15,2,7,1,2,1,3,2,5.846153846153846,3,6,1,13,117
4,0,0,23,0,20,15,0,1,0,4,25,11,0,12,0,0,4,8,0,0,1,8,10,10,4,5,0,0,1,0,0,5.98,1,0,3,11,100
5,3,1,28,0,22,7,1,1,0,2,40,9,1,8,0,0,3,8,1,0,0,5,4,11,3,9,0,1,0,0,0,6.801980198019802,0,1,4,11,101
6,5,0,24,0,21,5,0,0,0,3,30,9,0,8,0,1,6,7,0,0,0,5,6,6,3,4,0,3,2,0,0,6.375,1,3,3,7,80
7,4,2,16,0,14,9,0,0,0,2,20,16,0,10,0,0,2,8,0,0,0,4,5,8,4,4,0,0,0,0,0,6.688311688311688,0,5,3,6,77
8,1,1,16,0,12,6,1,2,0,4,21,6,0,8,0,0,5,3,0,0,0,1,4,11,1,5,1,1,2,0,2,5.927536231884058,2,4,3,10,69
9,2,1,19,1,11,12,0,1,0,3,22,8,0,10,0,0,3,9,0,0,1,7,8,8,1,2,0,1,0,0,0,5.886075949367089,0,1,3,13,79
10,9,0,28,1,12,16,0,1,0,4,45,17,0,8,0,0,7,21,0,0,0,12,12,19,2,13,0,2,2,1,1,6.0212765957446805,2,5,3,16,141
11,4,5,39,2,39,21,1,0,0,6,38,30,0,24,0,0,10,19,0,0,2,13,15,10,7,9,8,5,2,0,3,6.3621621621621625,3,7,4,19,185
12,7,1,32,0,23,14,0,0,0,5,32,13,0,14,0,0,4,7,0,0,2,16,18,11,6,4,1,0,1,0,2,6.2631578947368425,2,2,4,10,114
13,3,0,26,1,23,8,1,1,0,2,35,20,0,14,0,0,6,6,0,0,0,8,10,14,7,3,2,2,3,0,0,6.119658119658119,0,7,3,14,117
14,7,0,22,0,22,7,0,0,0,3,23,11,0,10,0,0,2,4,0,0,0,7,7,4,3,2,0,0,1,0,0,6.136986301369863,1,1,2,7,73
15,5,0,23,1,13,7,0,0,0,5,25,15,0,12,0,0,3,9,0,0,0,4,10,5,4,4,2,2,2,0,1,6.092783505154639,2,8,3,8,97
16,5,4,21,0,13,8,1,0,0,3,18,11,0,13,0,0,2,3,0,0,1,8,11,10,3,5,0,0,0,0,1,6.256410256410256,0,3,1,9,78
17,2,0,22,0,13,16,0,0,0,5,19,5,0,7,0,0,2,12,0,0,3,3,8,6,3,0,0,0,0,0,0,5.666666666666667,0,1,3,8,75
18,1,0,13,0,12,10,0,0,0,2,19,0,0,6,0,0,3,4,0,0,0,2,4,3,2,2,0,3,1,0,0,5.957446808510638,0,2,3,4,47
19,2,0,14,0,7,1,0,0,0,2,13,6,0,9,0,0,0,3,0,0,0,9,8,6,0,5,2,0,1,0,0,6.877551020408164,1,0,2,5,49
20,1,1,18,0,12,6,0,0,0,3,16,13,0,11,0,0,2,2,0,0,0,7,9,7,1,3,1,0,1,0,0,6.647058823529412,0,0,3,10,68
21,6,3,40,1,24,15,2,0,0,8,30,20,0,16,0,0,8,6,1,0,1,14,16,8,6,5,4,5,2,0,3,6.267175572519084,3,5,4,12,131
22,0,4,22,2,23,5,1,0,0,3,26,30,0,4,0,0,3,14,0,0,1,7,9,10,5,2,1,3,1,0,1,5.563106796116505,0,4,2,13,103
23,5,1,40,2,25,22,1,1,0,2,37,18,0,20,0,0,1,9,0,0,0,8,8,18,7,6,0,1,1,0,0,6.381294964028777,1,2,4,14,139
24,2,1,19,0,16,6,0,0,0,1,16,7,0,12,0,0,3,8,0,0,0,5,4,7,3,1,1,2,2,0,0,5.968253968253968,0,3,3,7,63
25,4,1,21,1,17,11,0,2,0,2,28,13,0,11,0,0,4,11,0,0,1,7,8,12,5,4,1,1,1,0,1,6.020833333333333,0,7,2,12,96
26,5,2,30,0,25,22,0,2,0,3,29,19,1,15,0,0,4,9,0,0,1,11,8,12,6,4,0,1,0,0,1,6.030769230769231,1,4,3,11,130
27,2,1,26,0,25,17,0,1,0,5,36,13,0,14,0,0,6,11,0,0,2,7,8,8,4,6,0,4,0,0,2,5.880952380952381,1,5,3,15,126
28,0,1,20,3,17,11,0,0,0,1,15,18,0,15,0,0,3,8,0,0,1,12,10,15,3,1,1,0,4,0,0,5.875,0,9,3,9,88
29,2,3,14,0,13,6,0,1,0,1,19,4,0,11,0,0,2,2,0,0,0,8,8,10,1,3,0,0,1,0,0,6.328125,0,0,3,6,64
30,2,0,23,0,26,13,0,1,0,2,25,8,0,15,0,0,4,8,0,0,0,12,9,11,5,1,3,1,0,0,0,6.510869565217392,0,3,4,9,92
31,5,1,20,2,15,12,0,2,0,8,29,6,1,13,0,0,6,9,0,1,0,8,11,11,4,4,1,2,1,0,3,6.224489795918367,3,4,3,10,98
32,2,2,11,0,7,8,0,1,0,1,10,0,0,5,0,0,0,2,0,0,0,2,1,3,3,0,0,3,1,0,1,5.771428571428571,1,1,2,5,35
33,0,1,12,1,13,6,1,0,0,2,15,8,1,6,0,0,1,5,1,0,0,8,9,6,1,1,1,1,2,0,0,6.345454545454546,0,2,2,8,55
34,2,1,24,1,26,16,2,1,0,4,20,18,1,14,0,0,8,13,0,0,1,8,12,14,4,6,0,3,1,0,4,6.362068965517241,1,2,3,12,116
35,3,1,25,0,20,6,0,0,0,9,25,11,0,9,0,0,4,3,0,0,2,3,10,5,4,2,1,0,2,0,1,5.910256410256411,1,2,2,8,78
36,0,1,24,0,19,7,0,1,0,1,22,22,0,7,0,0,2,2,0,0,0,5,5,7,2,0,0,2,0,0,1,5.75,0,3,2,8,76
37,1,2,21,0,12,14,0,0,0,4,17,6,0,12,0,0,0,5,0,0,0,8,8,12,3,4,0,2,2,0,1,6.6455696202531644,1,1,3,11,79
38,2,0,19,0,19,10,0,0,0,5,22,10,0,11,0,0,2,6,0,0,0,9,11,5,6,6,1,0,0,0,0,6.571428571428571,0,0,3,8,84
39,1,0,20,1,12,8,0,1,0,3,16,12,0,9,0,0,1,4,1,0,0,6,6,3,2,0,0,3,1,0,1,5.921875,0,0,2,7,64
40,4,0,20,0,15,5,0,0,0,3,18,1,0,4,0,0,10,1,1,0,0,5,9,6,0,4,2,0,1,0,3,3.472972972972973,0,1,1,5,74
41,1,0,14,0,4,3,0,0,0,4,9,31,0,5,0,0,6,3,0,1,0,5,5,5,0,0,0,3,1,0,1,5.39344262295082,2,12,3,6,61
42,3,2,22,0,26,16,0,1,0,4,21,19,1,16,0,0,9,11,2,0,0,6,9,12,6,4,2,4,0,0,1,6.192,1,5,3,15,125
43,2,0,19,0,10,8,0,1,0,2,14,4,0,3,0,0,5,5,0,0,0,4,6,9,1,4,0,0,1,0,2,5.733333333333333,1,0,2,6,45
44,3,0,20,0,16,12,0,0,0,2,19,7,0,11,0,0,5,6,0,1,0,8,8,9,5,1,1,1,0,0,0,6.215189873417722,0,6,2,11,79
45,2,0,18,2,18,9,0,0,0,1,21,15,0,12,0,0,1,5,0,0,0,3,3,10,5,1,1,1,0,0,1,6.3896103896103895,0,6,3,13,77
46,2,0,27,0,28,10,0,0,0,1,24,27,0,6,0,0,3,2,0,0,1,6,4,9,2,2,2,1,1,0,0,5.945652173913044,0,2,3,8,92
47,7,3,30,0,24,15,0,0,0,0,25,16,0,21,0,0,2,6,1,0,1,10,7,13,5,4,2,1,1,0,0,6.754385964912281,0,2,4,11,114
48,5,2,29,1,30,16,0,1,0,3,27,12,0,20,0,0,7,10,0,0,2,14,13,13,6,7,3,1,2,0,0,6.379032258064516,2,7,4,10,124
49,0,2,35,1,18,13,1,4,0,6,29,30,0,18,0,0,3,9,0,0,0,7,9,16,3,8,3,0,1,0,4,6.25,0,3,3,18,140
50,2,0,23,0,25,10,0,1,0,4,20,10,0,12,0,0,4,6,0,0,1,6,6,6,6,5,1,1,0,0,0,5.9375,0,1,3,9,80
