,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,0,1,13,0,8,3,0,0,1,21,2,0,3,0,0,6,3,0,0,0,2,1,3,0,4,0,3,0,0,2,5.285714285714286,0,4,7,49
1,2,2,14,2,22,5,1,0,0,15,8,0,7,0,0,16,6,0,0,1,2,2,14,6,3,4,2,3,0,2,5.19672131147541,2,3,5,61
2,2,0,6,0,2,4,0,0,0,8,0,0,3,0,0,1,2,0,0,0,0,0,4,0,1,0,1,1,0,0,5.260869565217392,1,1,4,23
3,3,0,18,0,18,6,0,0,1,41,1,0,5,0,0,14,5,0,0,1,5,5,3,2,3,2,10,1,0,1,6.104651162790698,1,11,7,86
4,2,1,15,0,12,4,0,0,2,17,14,0,6,0,0,8,3,0,0,0,3,7,4,2,2,0,6,0,0,1,5.541666666666667,0,3,8,72
5,2,0,22,1,24,11,1,0,0,32,7,0,5,1,0,10,9,0,0,0,4,2,8,4,2,2,4,1,0,1,5.811764705882353,0,2,10,85
6,4,2,31,0,29,16,1,1,1,28,21,0,12,0,0,14,6,0,0,1,3,2,18,3,14,4,1,2,1,2,6.842105263157895,3,4,9,114
7,7,1,18,0,12,6,1,2,2,24,3,0,7,0,0,15,9,0,0,4,9,11,6,7,6,4,1,0,0,2,5.303370786516854,0,6,8,89
8,2,2,22,1,13,5,0,0,1,24,7,0,5,0,0,7,2,0,0,0,2,2,14,1,0,1,0,2,0,3,5.78125,2,3,6,64
9,2,0,10,0,10,4,0,1,0,15,0,0,4,0,0,0,5,0,0,1,1,2,1,1,2,0,1,0,0,0,6.666666666666667,0,2,3,36
10,1,1,16,0,14,4,0,0,1,24,2,0,2,0,0,3,2,0,0,0,3,4,6,2,1,0,1,0,0,0,5.84,0,1,6,50
11,2,0,9,1,11,3,0,0,0,12,0,0,1,0,0,3,1,0,0,0,0,0,5,1,1,2,0,0,0,0,4.962962962962963,0,1,4,27
12,2,1,18,2,12,2,0,0,2,17,0,0,6,0,0,3,6,0,0,0,0,2,0,1,1,2,5,0,0,0,5.5,0,1,8,44
13,0,0,19,0,13,7,0,0,2,17,11,0,12,0,0,11,14,0,0,0,3,5,9,3,6,3,3,0,0,3,5.671052631578948,2,4,12,76
14,1,1,14,0,14,7,1,0,2,20,3,0,3,0,0,6,7,1,0,0,1,3,7,2,3,1,1,1,0,0,5.636363636363637,1,3,7,55
15,2,2,19,0,21,2,0,0,0,22,1,0,4,0,0,24,3,1,0,1,3,4,24,7,1,1,1,0,2,5,5.577464788732394,3,0,12,71
16,4,0,6,0,6,3,0,0,1,15,1,0,1,0,0,8,3,0,0,0,2,3,9,1,2,1,0,0,0,1,4.871794871794871,0,3,5,39
17,3,0,9,0,8,7,0,0,0,14,3,0,5,0,0,14,7,0,0,1,3,3,3,2,2,0,7,1,0,0,5.52,1,0,8,50
18,6,1,12,1,15,5,2,1,2,22,0,0,7,0,0,17,5,0,0,0,2,3,13,4,4,0,2,1,1,0,5.929577464788732,2,1,8,71
19,3,0,9,0,4,8,1,0,1,9,2,0,3,0,0,3,7,0,0,1,1,2,5,1,1,3,1,1,0,1,6.147058823529412,1,2,6,34
20,1,4,28,1,19,11,0,0,8,29,4,0,8,0,0,13,8,0,0,1,2,9,26,1,0,0,1,4,0,2,5.217391304347826,0,11,13,92
21,8,1,18,0,19,13,1,0,2,34,4,0,6,0,0,17,4,0,0,1,14,10,17,3,4,2,1,0,3,2,5.302083333333333,3,5,9,96
22,11,2,18,0,20,5,2,1,4,23,6,0,4,0,0,40,8,0,0,2,6,10,24,6,3,6,3,0,2,2,4.7272727272727275,2,8,14,110
23,5,2,22,1,19,7,3,0,6,21,1,0,9,0,0,14,5,0,0,1,1,7,12,1,5,3,0,0,1,2,5.895522388059701,3,1,12,67
24,3,3,20,2,18,8,0,0,3,23,1,0,12,0,0,8,12,0,0,0,3,4,4,4,1,9,3,0,0,2,5.071428571428571,0,3,11,84
25,2,0,17,0,12,4,3,0,2,15,1,0,5,0,0,11,3,0,0,1,4,6,9,3,5,0,2,0,0,1,5.511111111111111,0,1,8,45
26,3,0,16,1,17,7,0,0,1,23,4,0,5,0,0,8,7,0,0,0,3,3,2,3,4,2,10,1,0,1,6.042857142857143,1,2,9,70
27,7,0,25,0,21,15,1,0,2,51,12,0,9,0,0,31,17,1,0,0,9,4,3,7,6,3,22,1,1,1,5.560283687943262,2,8,14,141
28,8,0,23,0,25,10,1,0,1,30,6,0,12,0,0,27,7,1,0,3,4,7,22,10,3,2,1,0,0,1,5.357142857142857,1,4,20,112
29,7,1,20,5,11,3,0,0,0,22,8,0,9,0,0,14,6,0,0,4,4,3,22,2,1,1,0,2,0,1,5.094594594594595,0,4,9,74
30,3,0,9,1,10,1,0,0,0,14,0,0,4,0,0,3,3,0,0,0,1,2,1,2,0,0,3,0,0,0,5.586206896551724,0,1,3,29
31,2,1,9,0,10,1,1,1,1,10,4,0,5,0,0,5,4,0,0,0,0,1,4,2,3,1,4,1,0,0,6.138888888888889,0,3,5,36
32,1,0,16,0,8,6,2,0,2,20,3,0,10,0,0,10,7,0,0,1,6,6,3,1,7,5,1,1,0,0,5.735294117647059,1,1,9,68
33,0,0,8,0,4,0,0,0,0,8,0,0,1,0,0,3,2,0,0,0,2,6,0,1,0,1,2,0,0,1,5.142857142857143,1,0,3,21
34,2,0,8,1,9,3,0,0,1,12,2,0,4,0,0,10,4,0,0,0,5,5,0,2,0,4,2,0,0,2,4.9714285714285715,2,0,4,35
35,4,1,17,0,15,3,0,0,2,17,3,0,7,0,0,13,9,0,0,2,6,5,16,1,2,1,0,0,0,2,5.5396825396825395,0,3,8,63
36,6,2,26,0,33,18,0,1,1,33,19,0,17,0,0,8,9,0,0,0,7,9,12,2,7,3,1,1,0,0,5.514925373134329,0,14,15,134
37,2,0,4,0,6,0,0,0,0,9,0,0,3,0,0,6,4,0,0,0,0,0,5,5,0,0,0,0,0,0,6.041666666666667,0,0,3,24
38,1,0,15,0,12,5,0,1,2,18,5,0,5,0,0,14,2,0,0,1,5,6,8,2,6,1,0,2,0,0,5.375,0,4,7,56
39,5,0,11,0,15,9,0,0,2,13,7,0,3,0,0,14,5,0,0,1,3,5,11,2,3,0,1,1,0,1,5.116666666666666,1,1,7,60
40,3,0,23,1,22,8,0,0,0,38,16,0,8,0,0,14,2,0,0,0,4,3,11,1,9,0,6,0,0,3,6.1568627450980395,0,5,11,102
41,5,0,17,0,7,9,0,1,1,17,7,0,8,0,0,10,6,0,0,1,7,6,14,2,3,1,3,1,1,2,5.027027027027027,2,1,9,74
42,7,0,20,0,22,9,0,1,4,24,0,0,9,0,0,12,5,1,0,0,4,5,2,2,7,2,8,0,1,1,5.8533333333333335,0,3,8,75
43,4,0,34,0,24,15,1,0,1,49,4,0,3,0,0,13,10,1,0,0,6,4,16,5,6,1,4,0,0,6,5.559322033898305,1,8,11,118
44,0,2,4,1,4,3,0,0,3,8,2,0,2,0,0,5,1,0,0,0,1,5,0,4,0,3,2,0,0,3,5.0,1,3,7,35
45,6,3,29,0,22,12,0,1,2,37,17,0,12,0,0,14,5,0,0,1,7,6,7,5,7,4,7,1,0,3,5.685483870967742,3,5,11,124
46,5,1,24,1,18,9,0,0,3,31,10,0,5,0,0,15,7,0,0,4,5,9,16,1,2,3,7,3,2,0,4.99,3,2,10,100
47,6,1,23,0,21,5,1,0,2,26,5,0,13,0,0,13,7,0,0,1,8,5,5,6,7,5,4,2,1,2,5.455555555555556,1,7,9,90
48,5,0,18,0,14,5,1,0,1,19,9,0,3,0,0,7,3,1,0,1,5,4,0,4,0,1,14,0,0,0,5.2388059701492535,0,1,12,67
49,6,0,21,1,23,7,0,0,1,40,8,0,8,0,0,6,3,0,0,3,2,4,3,6,4,1,8,2,0,1,6.134831460674158,2,2,8,89
50,1,0,8,0,8,2,0,0,1,13,1,0,0,0,0,4,0,0,0,0,1,1,3,1,0,0,0,0,0,1,5.695652173913044,0,0,3,23
51,1,0,5,0,3,1,0,1,0,7,0,0,1,0,0,1,3,1,0,1,0,0,3,1,1,1,0,1,0,0,5.5,0,1,2,16
52,0,0,4,0,5,3,0,0,0,4,0,0,1,0,0,3,0,0,0,0,1,1,0,2,0,1,3,1,0,3,5.714285714285714,0,2,3,14
53,3,2,30,1,29,9,0,0,1,49,31,0,10,0,0,22,8,0,0,0,6,5,2,6,4,1,16,0,0,4,5.452702702702703,1,2,11,148
54,9,1,22,0,16,10,0,0,2,31,12,0,8,0,0,27,9,1,0,2,8,7,21,6,7,3,4,2,0,3,5.65,3,2,15,120
55,2,0,19,0,14,8,0,1,0,34,9,0,9,0,0,5,1,0,0,0,2,2,3,3,2,1,6,0,0,1,6.050632911392405,1,7,8,79
56,2,0,14,0,10,3,1,0,0,16,5,0,6,0,0,4,7,2,0,0,2,1,1,3,0,2,2,1,0,0,6.291666666666667,1,6,6,48
