,CC,CD,DT,EX,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,2,0,10,1,8,3,0,0,0,1,12,4,0,6,0,0,9,7,0,0,0,11,10,7,1,1,0,0,0,0,0,6.085106382978723,0,1,5,47
1,1,0,8,0,10,1,0,0,0,0,11,13,0,5,0,0,2,2,0,0,0,4,5,1,0,0,2,0,0,0,0,6.131578947368421,0,1,5,38
2,2,0,8,1,12,8,0,1,0,2,10,4,0,13,0,0,3,9,0,0,0,6,7,7,1,3,0,0,1,0,0,6.086206896551724,1,1,8,58
3,4,0,20,0,19,14,1,2,0,3,24,25,0,13,0,0,2,9,0,0,0,8,9,11,4,4,0,2,0,0,1,6.074766355140187,1,7,12,107
4,6,3,24,0,30,10,0,2,0,2,16,8,0,11,0,0,7,11,0,0,0,1,2,10,4,4,3,1,0,0,1,5.198019801980198,1,5,12,101
5,6,2,61,0,52,22,0,0,0,5,55,28,0,19,0,0,11,11,0,0,1,9,15,24,3,12,0,1,5,0,1,5.761421319796955,5,5,15,197
6,5,1,24,0,21,10,0,1,0,7,28,9,0,11,0,0,8,7,0,0,1,9,15,12,4,7,0,1,0,2,0,6.255102040816326,2,4,10,98
7,7,1,19,0,20,9,0,0,0,1,30,16,0,13,0,0,6,3,0,0,0,13,11,9,3,1,0,1,1,0,0,6.495238095238095,0,6,12,105
8,2,2,32,0,29,16,0,3,0,6,37,20,1,17,0,0,8,9,0,0,1,13,13,20,2,3,1,2,1,0,0,6.333333333333333,0,7,15,141
9,0,0,12,1,11,6,0,0,0,0,17,1,0,0,0,0,1,4,0,0,0,2,2,0,1,0,0,2,0,0,0,5.454545454545454,0,0,3,33
10,1,0,30,1,21,18,0,2,0,3,28,15,0,18,0,0,3,6,0,0,0,7,9,15,2,4,1,1,3,0,1,6.288288288288288,2,8,13,111
11,2,0,21,1,13,8,0,0,0,0,13,2,0,14,0,0,5,4,0,0,3,7,6,15,3,3,1,3,3,0,2,6.0606060606060606,2,4,10,66
12,0,0,1,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,3,6,100
13,1,1,32,0,26,10,1,0,0,5,25,14,0,13,0,0,9,8,0,0,1,10,14,14,2,3,1,2,1,0,2,5.778846153846154,3,5,12,104
14,2,0,19,1,15,11,0,1,0,5,17,4,0,12,0,0,3,12,0,0,0,7,8,11,2,5,0,2,2,1,1,6.75,1,1,6,68
15,2,1,12,0,14,7,0,0,0,2,15,13,1,8,0,0,6,4,0,0,0,2,4,11,1,5,1,2,0,0,0,6.057971014492754,0,5,8,69
16,5,2,33,1,27,15,1,1,0,2,39,24,0,14,0,0,5,7,0,0,0,9,7,8,5,7,4,3,1,0,1,6.251908396946565,0,5,17,131
17,2,1,12,1,9,6,0,0,0,2,11,7,0,10,0,0,1,4,0,0,0,7,9,5,3,1,1,0,3,0,0,5.806451612903226,0,2,2,62
18,1,2,14,1,17,10,1,0,0,4,15,4,0,6,0,0,8,11,0,0,1,6,12,9,0,4,1,2,1,0,1,5.484848484848484,1,1,9,66
19,4,0,25,2,21,14,0,0,0,4,23,12,1,9,0,0,1,6,0,0,1,10,13,9,2,6,0,2,0,0,0,5.9361702127659575,0,0,13,94
20,2,2,21,2,20,11,1,0,0,3,19,6,0,10,0,0,3,7,0,0,2,6,6,10,1,2,3,0,3,0,0,5.855263157894737,1,2,9,76
21,2,1,24,0,18,9,0,1,0,2,28,4,1,8,0,0,4,4,0,0,1,7,7,10,3,2,0,1,0,0,0,6.102564102564102,0,1,10,78
22,3,1,25,0,19,10,0,0,0,3,19,12,0,11,0,0,2,1,0,0,0,4,5,10,3,2,1,1,0,0,1,6.384615384615385,1,2,12,78
23,3,1,21,0,17,8,1,0,0,4,22,15,0,16,0,0,4,5,0,0,2,5,6,10,1,6,2,1,1,1,3,6.011111111111111,3,2,13,90
24,3,0,28,0,15,9,0,0,0,6,38,11,0,8,0,0,3,6,1,0,1,9,15,7,1,7,0,3,1,0,0,6.0673076923076925,0,1,13,104
25,3,0,24,0,19,8,0,1,0,2,28,7,1,10,0,0,2,4,0,0,0,3,3,14,5,2,0,3,0,0,0,6.3882352941176475,0,3,9,85
26,8,0,25,0,22,11,0,0,0,5,31,9,0,15,0,0,7,4,0,0,0,1,6,6,0,3,2,3,2,0,4,5.892857142857143,1,8,5,84
27,5,0,18,0,13,2,0,0,0,1,19,0,0,7,0,0,3,3,0,0,0,6,4,10,2,0,0,0,0,1,0,6.046511627906977,1,2,2,43
28,4,1,21,0,24,15,0,0,0,6,27,7,0,16,0,0,4,8,0,0,1,7,10,10,2,2,1,2,1,0,0,5.980392156862745,1,1,11,102
29,0,2,7,0,9,1,0,0,0,0,10,9,0,0,0,0,3,2,0,0,0,4,2,2,2,2,2,3,0,0,0,4.828571428571428,0,6,2,35
30,0,1,19,0,14,7,0,1,0,1,19,2,0,10,0,0,4,7,0,0,2,6,4,9,6,2,0,1,0,0,0,5.838235294117647,0,0,7,68
31,2,0,9,0,7,8,1,0,0,1,12,1,0,5,0,0,5,1,0,0,0,2,3,7,2,1,1,1,0,0,1,5.7368421052631575,0,0,6,38
32,0,0,28,0,23,11,0,1,0,4,33,11,0,12,0,0,3,9,0,0,0,4,9,7,7,2,1,2,0,0,3,5.921568627450981,2,2,10,102
33,1,0,11,0,12,7,0,0,0,0,14,5,0,7,0,0,2,3,0,0,0,3,2,3,1,1,1,0,0,0,0,6.769230769230769,0,0,4,39
34,7,2,28,0,16,12,0,0,0,6,28,3,0,15,0,0,4,11,0,0,1,6,8,10,2,3,0,0,0,0,1,6.456521739130435,0,1,11,92
35,2,1,6,1,12,4,0,0,0,1,10,2,0,4,0,0,3,5,0,0,0,4,1,5,5,0,0,0,0,0,0,5.513513513513513,0,3,4,37
36,4,1,27,0,12,18,0,0,0,4,24,5,0,16,0,0,4,8,0,0,1,8,8,13,7,4,0,1,1,0,2,6.313725490196078,0,0,10,102
37,0,0,26,1,24,12,0,1,0,2,30,5,0,8,0,0,0,8,0,0,1,6,5,9,4,2,1,1,2,0,1,6.646341463414634,2,0,10,82
38,0,0,3,0,3,2,0,0,0,0,1,3,0,7,0,0,1,2,0,0,0,3,2,3,1,1,0,0,0,0,0,6.782608695652174,0,1,3,23
39,3,0,16,0,12,3,0,0,0,1,18,9,0,8,0,0,3,3,0,0,0,2,3,11,4,3,0,0,1,1,0,5.982758620689655,1,9,4,58
40,3,0,28,0,29,12,0,0,0,4,29,16,0,11,0,0,3,2,0,0,1,9,9,10,1,4,1,1,0,0,0,6.423913043478261,0,4,9,92
41,2,2,15,0,17,8,1,0,0,2,17,14,1,11,0,0,3,8,0,0,0,4,4,6,3,7,1,1,0,0,2,6.546666666666667,0,3,7,75
42,7,2,20,0,14,13,0,2,0,0,16,11,0,12,0,0,6,6,0,1,0,3,3,6,4,3,3,5,1,1,2,6.141025641025641,2,4,10,78
43,1,0,28,0,15,8,0,0,0,3,28,6,0,8,0,0,1,4,0,0,2,4,6,12,3,3,1,1,4,0,2,6.2368421052631575,0,9,10,76
44,1,0,20,2,12,8,0,1,0,4,14,7,0,8,0,0,4,6,1,0,1,6,6,7,2,3,1,0,1,0,1,5.983333333333333,2,1,9,60
45,6,1,30,0,31,13,0,1,0,10,29,12,1,16,0,0,4,7,1,1,0,11,17,11,2,5,1,3,2,0,0,6.4298245614035086,1,6,9,114
46,0,3,10,0,9,3,1,0,0,1,12,7,0,4,0,0,4,2,0,0,0,6,6,5,2,3,1,1,0,0,0,5.872340425531915,0,1,8,47
47,0,1,6,1,10,9,1,0,0,0,10,3,0,9,0,0,0,4,0,0,0,2,2,6,2,1,0,0,0,0,2,6.55,0,0,4,40
48,13,0,39,0,32,13,1,0,0,8,42,6,0,16,0,0,10,8,0,1,1,14,21,13,2,4,0,0,0,0,0,6.016666666666667,0,3,10,120
49,5,0,22,1,22,12,1,3,0,3,27,21,1,15,0,0,2,11,0,0,1,6,6,10,3,3,0,3,0,0,0,6.018518518518518,0,4,8,108
50,4,0,16,0,10,6,0,2,0,3,15,4,0,8,0,0,8,8,0,0,3,10,9,8,2,2,1,0,1,0,0,6.229508196721311,0,2,5,61
51,2,0,14,1,9,5,0,0,0,2,19,7,0,8,0,0,0,5,0,0,0,7,6,8,2,2,1,0,0,0,0,6.693548387096774,0,1,8,62
52,4,0,24,1,16,3,0,0,0,3,39,8,1,13,0,0,2,1,0,0,0,11,11,11,0,4,1,0,0,0,2,6.5054945054945055,0,2,11,91
53,1,2,28,0,15,9,0,0,0,2,22,10,0,12,0,0,2,3,0,0,1,9,9,13,3,1,0,0,0,0,1,6.404761904761905,0,2,12,84
54,5,1,16,0,13,7,0,1,0,3,16,5,0,7,0,0,2,2,1,0,0,4,8,4,4,1,3,2,1,0,0,6.228070175438597,0,1,8,57
55,3,1,23,4,24,18,0,1,0,4,24,14,1,12,0,0,2,8,0,1,0,2,5,13,3,3,1,1,1,0,0,6.322916666666667,1,1,13,96
56,2,0,19,0,20,5,1,3,0,3,22,11,1,9,0,0,4,10,0,0,0,5,8,10,1,5,2,1,0,0,1,6.160919540229885,0,4,10,87
57,3,0,21,2,22,13,0,1,0,1,28,10,0,15,0,1,7,6,0,0,0,5,6,11,3,3,5,1,2,0,0,6.175257731958763,2,6,9,97
58,2,3,23,0,20,8,0,0,0,2,29,10,0,10,0,0,5,4,0,0,1,5,4,10,2,3,1,1,3,0,3,5.373737373737374,3,3,8,99
59,5,1,18,0,17,12,0,2,0,4,20,0,0,11,0,0,8,9,0,0,1,12,14,8,3,4,1,0,0,0,0,6.1923076923076925,0,5,8,78
60,2,1,22,0,17,5,0,0,0,2,18,7,0,10,0,0,2,3,0,1,0,5,6,7,4,2,0,0,0,0,0,6.0,0,2,8,74
61,3,0,23,1,19,11,0,0,0,8,25,16,0,13,0,0,6,8,1,0,2,11,18,7,6,4,2,1,1,0,4,6.046296296296297,0,3,12,108
62,4,0,19,0,23,9,2,0,0,0,30,22,0,14,0,0,9,4,0,0,2,13,15,5,2,2,3,5,0,0,2,6.19811320754717,0,3,15,106
63,0,1,11,0,8,8,0,1,0,2,10,8,0,7,0,0,3,6,0,0,0,2,2,6,2,1,1,1,0,0,3,5.925925925925926,1,7,7,54
64,1,0,23,0,23,13,1,0,0,6,30,11,0,9,0,0,5,5,1,0,0,9,10,10,1,9,2,0,0,0,2,6.516129032258065,0,3,8,93
65,6,0,32,0,23,16,0,2,0,3,30,14,1,21,0,0,1,6,0,0,1,7,7,8,5,5,0,2,1,0,0,6.549180327868853,0,1,16,122
66,4,2,34,0,25,10,0,1,0,4,41,10,0,11,0,0,2,4,0,0,1,6,8,13,3,14,0,4,3,0,0,6.15,0,1,11,120
67,7,1,21,1,23,11,0,1,0,3,21,18,1,16,0,0,2,10,0,0,0,5,8,11,4,4,1,1,1,0,1,6.303921568627451,1,6,11,102
68,0,3,9,0,10,4,0,0,0,0,11,4,0,4,0,0,3,2,0,0,1,4,1,4,2,2,2,0,1,1,1,5.6,1,7,5,40
69,5,1,15,2,12,8,0,0,0,3,24,19,0,8,0,0,1,4,0,0,0,4,5,5,3,7,1,3,1,0,2,6.329268292682927,2,10,6,82
70,4,2,26,1,40,15,0,0,0,4,29,26,1,10,0,0,3,16,0,0,2,8,10,12,4,10,0,1,2,0,0,6.204918032786885,2,7,13,122
71,2,0,3,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,3,3,3,1,0,1,0,0,0,1,5.818181818181818,0,1,2,11
72,2,0,27,0,22,14,0,0,0,0,20,4,0,14,0,0,6,10,0,0,1,13,9,10,5,0,2,0,1,0,0,5.636363636363637,0,4,6,88
73,1,3,14,0,24,5,1,2,0,1,26,8,0,13,0,0,1,9,0,0,0,4,5,11,0,8,0,2,2,0,2,5.862068965517241,0,5,7,87
74,4,3,27,0,29,10,0,1,0,4,34,20,0,10,0,0,4,9,0,0,1,10,12,9,1,5,1,6,3,0,1,6.095652173913043,0,7,9,115
75,5,3,37,1,17,14,0,2,0,3,24,12,0,15,0,0,6,8,0,0,0,11,13,14,3,3,5,4,3,0,0,6.351851851851852,0,2,11,108
76,1,0,14,0,7,4,0,0,0,1,10,0,0,9,0,0,2,3,0,1,0,5,4,8,2,3,1,0,3,0,0,6.2105263157894735,1,2,5,38
77,5,0,27,0,16,11,0,0,0,1,21,4,0,15,0,0,3,4,0,0,0,17,13,11,3,5,0,0,2,0,1,6.0602409638554215,1,3,8,83
78,1,0,26,1,27,12,0,0,0,2,34,5,0,6,0,0,4,8,0,0,0,6,6,13,4,3,0,0,1,0,1,6.158536585365853,0,3,10,82
79,2,1,23,0,22,14,0,2,0,6,24,11,1,11,0,0,6,9,0,0,0,4,9,10,2,5,0,1,2,0,1,6.170212765957447,1,3,9,94
80,2,1,39,0,22,17,0,0,0,7,33,17,0,15,0,0,4,5,1,0,1,11,14,8,3,4,2,6,1,0,0,6.458333333333333,0,3,13,120
81,1,2,21,1,15,7,1,1,0,3,27,7,0,5,0,0,3,2,0,0,0,7,6,8,3,2,2,2,2,0,2,6.056338028169014,1,2,7,71
82,2,0,26,0,21,15,1,0,0,5,29,11,1,10,0,0,3,6,0,0,0,7,11,7,3,3,0,0,1,0,0,6.372340425531915,1,1,8,94
83,3,1,27,0,17,14,0,3,0,4,23,15,0,14,0,0,5,7,0,0,0,9,10,10,4,3,3,0,1,0,0,6.048076923076923,0,1,11,104
84,2,0,6,1,4,4,1,0,0,1,9,3,0,5,0,0,2,9,0,0,0,8,8,4,2,4,3,1,0,0,0,6.155555555555556,0,3,7,45
85,1,1,20,2,19,14,0,0,0,4,18,4,0,10,0,0,3,3,0,0,0,7,8,12,5,2,0,0,2,0,0,5.733333333333333,1,0,9,75
86,4,0,36,0,24,7,0,1,0,5,40,23,0,17,0,0,4,8,0,0,0,14,15,11,5,8,3,0,3,0,0,6.526717557251908,1,1,13,131
